ldm_entity, related_entites
BIRD_SGNFCNT_RSK_TRNSFR_SCRTSTN_LDM,BIRD_SCRTSTN_LDM:BIRD_ASST_PL_SCRTSTN_LDM:BIRD_ASST_PL_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_ASST_PL_LN_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE_LDM:BIRD_INSTRMNT_LDM:BIRD_ASST_PL_EQT_INSTRMNT_NT_SCRT_ASSGNMNT_LDM:BIRD_EQT_INSTRMNT_NT_SCRT_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM
BIRD_DBT_SCRTY_ISSD_TRDNG_BK_IFRS_LDM,BIRD_DBT_SCRTY_ISSD_TRDNG_BK_LDM:BIRD_DBT_SCRTY_ISSD_LDM:BIRD_DBT_SCRTY_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_ANNX_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_CLLTRL_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_LDM:BIRD_SFT_LDM:BIRD_INSTRMNT_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_SCRTY_LG_LDM:BIRD_TRNSFRD_ASST_LG_LDM:BIRD_RPRCHS_AGRMNT_CMPNNT_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_ISSR_LDM:BIRD_DBT_SCRTY_DBTR_ASSGNMNT_LDM:BIRD_SCRTY_DBTR_LDM:BIRD_ORGNSTN_RL_LDM:BIRD_RTNG_GRD_ISS_BSD_RTNG_SSTM_DBT_SCRTY_ASSGNMNT_LDM:BIRD_RTNG_GRD_ISS_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_LDM:BIRD_DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_DBT_SCRT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_LDM:BIRD_ASST_PL_SCRTSTN_LDM:BIRD_ASST_PL_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM:BIRD_DSCRNT_EXCSS_SPRD_LDM:BIRD_TRNCH_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_TRNCH_LDM
BIRD_SCRTY_HDGD_EXCHNG_TRDBL_DRVTV_LDM,BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_BUYR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SLLR_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_INSTRMNT_LDM:BIRD_SCRTY_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_SCRTY_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM:BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM
BIRD_NT_SGNFCNT_RSK_TRNSFR_SCRTSTN_LDM,BIRD_SCRTSTN_LDM:BIRD_ASST_PL_SCRTSTN_LDM:BIRD_ASST_PL_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_ASST_PL_LN_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE_LDM:BIRD_INSTRMNT_LDM:BIRD_ASST_PL_EQT_INSTRMNT_NT_SCRT_ASSGNMNT_LDM:BIRD_EQT_INSTRMNT_NT_SCRT_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM
BIRD_NT_PST_DU_FNNCL_ASST_INSTRMNT_LDM,BIRD_FNNCL_ASST_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_INSTRMNT_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_CLLTRL_RCVD_INSTRMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SRVCR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM
BIRD_DBT_SCRTY_ISSD_TRDNG_BK_NGAAP_LDM,BIRD_DBT_SCRTY_ISSD_TRDNG_BK_LDM:BIRD_DBT_SCRTY_ISSD_LDM:BIRD_DBT_SCRTY_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_ANNX_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_CLLTRL_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_LDM:BIRD_SFT_LDM:BIRD_INSTRMNT_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_SCRTY_LG_LDM:BIRD_TRNSFRD_ASST_LG_LDM:BIRD_RPRCHS_AGRMNT_CMPNNT_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_ISSR_LDM:BIRD_DBT_SCRTY_DBTR_ASSGNMNT_LDM:BIRD_SCRTY_DBTR_LDM:BIRD_ORGNSTN_RL_LDM:BIRD_RTNG_GRD_ISS_BSD_RTNG_SSTM_DBT_SCRTY_ASSGNMNT_LDM:BIRD_RTNG_GRD_ISS_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_LDM:BIRD_DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_DBT_SCRT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_LDM:BIRD_ASST_PL_SCRTSTN_LDM:BIRD_ASST_PL_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM:BIRD_DSCRNT_EXCSS_SPRD_LDM:BIRD_TRNCH_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_TRNCH_LDM
BIRD_CLLTRL_NN_FNNCL_ASST_ASSGNMNT_LDM,
BIRD_SHRT_SCRTY_PSTN_TRDNG_BK_IFRS_LDM,BIRD_SHRT_SCRTY_PSTN_TRDNG_BK_LDM:BIRD_SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_SHRT_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_EQTY_INSTRMNT_NT_SCRTY_INVSTR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_RSK_FAC_SA_LDM
BIRD_SHRT_SCRTY_PSTN_TRDNG_BK_NGAAP_LDM,BIRD_SHRT_SCRTY_PSTN_TRDNG_BK_LDM:BIRD_SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_SHRT_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_EQTY_INSTRMNT_NT_SCRTY_INVSTR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_RSK_FAC_SA_LDM
BIRD_LNG_SCRTY_PSTN_BNKG_BK_ASSGNMNT_LDM,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_EQTY_INSTRMNT_NT_SCRTY_INVSTR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_RSK_FAC_SA_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM:BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM:BIRD_SCRTY_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_ASST_PL_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_OTC_DRVTV_INSTRMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM
BIRD_LNG_SCRTY_PSTN_TRDNG_BK_ASSGNMNT_LDM,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_EQTY_INSTRMNT_NT_SCRTY_INVSTR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_RSK_FAC_SA_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM:BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM:BIRD_SCRTY_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_ASST_PL_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_OTC_DRVTV_INSTRMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM
BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM,BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_BUYR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SLLR_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_INSTRMNT_LDM:BIRD_SCRTY_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_CLLTRL_RCVD_INSTRMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SRVCR_LDM
BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM,BIRD_CLLTRL_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_CLLTRL_RCVD_INSTRMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SRVCR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM
BIRD_EXCHNG_TRDBL_DRVTV_ASST_LBLTY_PSTN_LDM,BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_BUYR_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_OTC_DRVTV_BUYR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_RPRCHS_AGRMNT_BYR_ASSGNMNT_LDM:BIRD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_EXCHNG_TRDBL_DRVTV_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_RSK_FAC_SA_LDM:BIRD_SLLR_LDM:BIRD_OTC_DRVTV_SLLR_ASSGNMNT_LDM:BIRD_RPRCHS_AGRMNT_SLLR_ASSGNMNT_LDM
BIRD_FRBN_OFF_BLNC_SHT_ITM_GVN_INSTRMNT_LDM,BIRD_OFF_BLNC_SHT_ITM_GVN_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_INSTRMNT_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_CLLTRL_RCVD_INSTRMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SRVCR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM
